Date,Open,High,Low,Close,Adj Close,Volume
2020-04-24,85.779999,86.400002,84.230003,85.889999,82.055031,2131900
2020-04-27,87.099998,88.709999,86.980003,88.190002,84.252335,1840100
2020-04-28,90.120003,90.470001,87.209999,88.269997,84.328751,2665900
2020-04-29,90.529999,90.529999,86.250000,87.459999,83.554924,3261300
2020-04-30,86.190002,88.779999,85.660004,86.430000,82.570908,2319500
2020-05-01,84.389999,84.900002,82.750000,83.809998,80.067894,2130500
2020-05-04,82.459999,83.660004,81.160004,83.089996,79.380043,1892900
2020-05-05,84.430000,84.879997,82.680000,83.279999,79.561562,1929800
2020-05-06,83.800003,84.360001,82.879997,83.169998,79.456459,1440300
2020-05-07,84.500000,85.480003,84.040001,84.599998,80.822632,1874000
2020-05-08,86.040001,86.580002,85.000000,86.180000,82.332077,1949200
2020-05-11,85.620003,87.239998,85.320000,86.370003,82.513588,1785000
2020-05-12,87.089996,87.629997,83.989998,84.000000,80.249413,1926400
2020-05-13,83.389999,83.779999,79.269997,80.440002,76.848373,2809100
2020-05-14,79.199997,83.489998,77.580002,83.290001,79.571121,2684200
2020-05-15,82.580002,85.309998,82.099998,84.900002,81.109230,3998200
2020-05-18,87.760002,88.440002,85.980003,86.760002,82.886192,2550100
2020-05-19,86.209999,88.180000,85.459999,86.860001,82.981720,2066400
2020-05-20,88.449997,88.449997,87.139999,88.089996,84.156792,2653800
2020-05-21,88.050003,88.269997,86.690002,88.010002,84.080376,2235900
2020-05-22,88.419998,88.470001,86.089996,87.250000,83.354309,2247700
2020-05-26,89.800003,90.940002,87.879997,88.050003,84.118584,3680800
2020-05-27,89.430000,90.639999,88.760002,90.239998,86.210793,4590700
2020-05-28,90.610001,91.309998,88.230003,90.849998,87.247971,4065700
2020-05-29,90.279999,90.919998,88.510002,89.730003,86.172379,14610100
2020-06-01,89.889999,91.349998,89.419998,90.519997,86.931053,2014100
2020-06-02,91.190002,92.500000,90.800003,92.209999,88.554054,2483900
2020-06-03,93.250000,95.860001,92.919998,94.559998,90.810875,2667100
2020-06-04,94.410004,95.639999,93.790001,94.989998,91.223839,2537000
2020-06-05,97.750000,98.279999,95.519997,96.519997,92.693169,3722800
2020-06-08,96.500000,96.870003,95.510002,95.989998,92.184189,2748000
2020-06-09,95.000000,96.349998,93.910004,95.559998,91.771233,2063200
2020-06-10,95.430000,95.720001,93.410004,94.089996,90.359505,2418600
2020-06-11,92.010002,92.919998,89.849998,90.669998,87.075111,2540500
2020-06-12,92.849998,92.989998,89.669998,91.279999,87.660919,1806400
2020-06-15,89.470001,91.900002,88.519997,91.440002,87.814583,1631000
2020-06-16,94.330002,94.330002,90.900002,91.860001,88.217934,1842500
2020-06-17,92.370003,92.480003,90.870003,91.260002,87.641731,1384600
2020-06-18,90.730003,91.010002,89.629997,90.129997,86.556519,1428300
2020-06-19,91.480003,91.919998,87.900002,88.260002,84.760674,4135900
2020-06-22,88.000000,88.489998,87.220001,87.820000,84.338112,2219700
2020-06-23,88.959999,89.290001,87.720001,87.919998,84.434151,2094100
2020-06-24,87.440002,87.540001,84.949997,86.559998,83.128067,2848200
2020-06-25,86.320000,86.680000,84.849998,86.000000,82.590271,1611200
2020-06-26,85.800003,86.470001,84.169998,84.790001,81.428238,4644300
2020-06-29,85.019997,87.180000,84.320000,86.980003,83.531418,1292000
2020-06-30,85.910004,87.410004,85.540001,86.910004,83.464203,2046600
2020-07-01,87.169998,87.669998,85.570000,86.449997,83.022423,1963300
2020-07-02,87.739998,88.620003,86.360001,86.559998,83.128067,1743100
2020-07-06,87.650002,88.750000,86.379997,88.510002,85.000755,1286900
2020-07-07,87.989998,88.190002,86.680000,86.860001,83.416168,1310700
2020-07-08,86.930000,87.459999,86.059998,86.550003,83.118454,1464000
2020-07-09,86.620003,87.250000,85.690002,86.379997,82.955200,1812100
2020-07-10,86.199997,87.440002,85.699997,87.239998,83.781120,1026700
2020-07-13,87.680000,89.589996,87.050003,87.430000,83.963577,2291100
2020-07-14,87.110001,88.440002,86.800003,88.180000,84.683846,1461500
2020-07-15,89.629997,90.690002,88.690002,90.349998,86.767799,2272800
2020-07-16,89.900002,90.400002,89.410004,89.690002,86.133965,1798600
2020-07-17,90.050003,91.000000,89.430000,90.570000,86.979080,1293900
2020-07-20,90.349998,91.220001,89.669998,90.910004,87.305603,1339200
2020-07-21,91.709999,92.110001,90.889999,91.040001,87.430450,1433500
2020-07-22,90.720001,94.209999,90.660004,93.620003,89.908150,2341800
2020-07-23,93.339996,94.190002,92.360001,92.870003,89.187897,1553000
2020-07-24,93.019997,93.470001,92.209999,93.139999,89.447189,1022600
2020-07-27,93.019997,94.160004,92.570000,93.370003,89.668060,2213300
2020-07-28,93.660004,93.980003,92.320000,92.750000,89.072655,2171100
2020-07-29,92.750000,95.440002,92.669998,94.830002,91.070175,2777900
2020-07-30,93.150002,94.199997,90.570000,91.639999,88.006660,3863100
2020-07-31,91.570000,91.860001,90.160004,91.050003,87.440056,1914900
2020-08-03,91.250000,92.470001,90.800003,90.919998,87.315193,1735200
2020-08-04,90.519997,92.410004,90.389999,91.820000,88.179520,1321700
2020-08-05,92.230003,92.529999,90.790001,91.000000,87.392036,1243200
2020-08-06,90.410004,91.470001,90.160004,90.989998,87.382431,1194800
2020-08-07,90.540001,91.320000,90.040001,90.820000,87.219162,1239700
2020-08-10,90.949997,91.760002,90.900002,91.339996,87.718544,1087400
2020-08-11,92.089996,93.900002,92.070000,92.699997,89.024628,1429100
2020-08-12,93.300003,93.800003,92.540001,93.160004,89.466393,1189300
2020-08-13,92.959999,93.720001,92.559998,92.769997,89.091850,1221200
2020-08-14,92.680000,93.160004,92.019997,92.650002,88.976624,781000
2020-08-17,92.849998,94.099998,92.550003,93.599998,89.888939,1199200
2020-08-18,94.360001,94.900002,93.599998,94.900002,91.137405,1463300
2020-08-19,95.139999,95.440002,93.529999,93.930000,90.205872,1275800
2020-08-20,93.070000,95.510002,93.000000,95.370003,91.588760,1346200
2020-08-21,95.419998,96.330002,95.320000,96.099998,92.289825,1477100
